prefix,first_name,middle_name,last_name,suffix,institute,country,webpage
Dr.,Katie,,Collins,PhD,"Natural History Museum, London",UK,
Dr.,Kenneth,,De Baets,PhD,University of Warsaw,Poland,
Dr.,Emma,,Dunne,PhD,FAU-Erlangen-Nürnberg,Germany,
Prof. Dr.,Seth,,Finnegan,PhD,"University of California, Berkeley",USA,
Dr.,Adam,T. ,Kocsis,PhD,FAU-Erlangen-Nürnberg,Germany,https://www.gzn.nat.fau.de/palaeontologie/team/wissenschaftler/kocsis/
Prof. Dr.,Lee Hsiang,,Liow,PhD,University of Oslo,Norway,
Prof. Dr.,Lin,,Na,PhD,Nanjing Institute of Geology and Paleontology,China,
Prof. Dr.,Shanan,,Peters,PhD,University of Wisconsin,USA,
Prof. Dr.,Erin,,Saupe,PhD,University of Oxford,UK,
Dr.,Edie,,Stewart,PhD,Smithsonian NMNH,USA,
